Date,Actual,AR,MA,ARIMA,SES,HWES,PROPHET,TELR
01-01-2018,46.9,41,50,40.961204,41.45860085,42.0555668,47,47.84
02-01-2018,42.8,43,51,41.496742,42.0555668,41.6315596,43,40.97
03-01-2018,44.7,49,46,41.003542,41.6315596,41.13682402,50,47.79
04-01-2018,44.2,50,49,40.511043,41.13682402,41.38176837,44,44.53
08-01-2018,43.1,42,55,40.818824,41.38176837,45.214708,44,41.63
14-01-2018,44.7,45,57,44.59027,45.214708,44.45643939,49,46.52
15-01-2018,44.4,50,47,43.507316,44.45643939,42.91475088,47,46.93
16-01-2018,44.6,47,53,42.022583,42.91475088,41.87722482,47,46.77
17-01-2018,44.2,49,57,41.092078,41.87722482,41.71227732,48,45.31
18-01-2018,44.4,50,57,41.271333,41.71227732,41.9800679,44,46.13
21-01-2018,45.2,50,49,41.944682,41.9800679,41.99861919,44,45.36
22-01-2018,45,46,46,41.758954,41.99861919,44.88515063,50,47.15
23-01-2018,45.4,40,57,44.332475,44.88515063,44.15439179,48,46.13
24/01/2018,42.5,47,55,43.215162,44.15439179,42.61460893,44,43.26
25-01-2018,45,40,55,41.810687,42.61460893,38.78503839,46,44.51
28-01-2018,44.3,47,54,38.265849,38.78503839,42.8010735,43,45.23
29-01-2018,44.2,48,51,42.693569,42.8010735,41.8693516,42,44.62
30-01-2018,44.1,43,50,41.672483,41.8693516,44.96926057,44,46.71
31-01-2018,43.5,44,56,44.636489,44.96926057,42.6710667,42,47.34
,,,,,,,,
