,title,author,pub_year,venue,citedby_url,num_citations,gsrank,pub_url,publishedData,related_link,numOfVersions
0,Sales forecasting using time series and neural networks,"AP Ansuj, ME Camargo, R Radharamanan",1996,Computers & Industrial …,"/scholar?cites=12260312225118851308&as_sdt=5,33&sciodt=0,33&hl=en",81,1,https://www.sciencedirect.com/science/article/pii/0360835296001660,"AP Ansuj, ME Camargo, R Radharamanan… - Computers & Industrial …, 1996 - Elsevier","https://scholar.google.com/scholar?q=related:7JCWxQJhJaoJ:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 7 versions
1,Performance of state space and ARIMA models for consumer retail sales forecasting,"P Ramos, N Santos, R Rebelo",2015,Robotics and computer-integrated …,"/scholar?cites=13687424135033890456&as_sdt=5,33&sciodt=0,33&hl=en",125,1,https://www.sciencedirect.com/science/article/pii/S0736584515000137,"P Ramos, N Santos, R Rebelo - Robotics and computer-integrated …, 2015 - Elsevier","https://scholar.google.com/scholar?q=related:mKbNUrt_870J:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 7 versions
2,Forecasting commercial rental values using ARIMA models,"T McGough, S Tsolacos",1995,Journal of Property Valuation and …,"/scholar?cites=16013117107192919210&as_sdt=5,33&sciodt=0,33&hl=en",81,1,https://www.emerald.com/insight/content/doi/10.1108/14635789510147801/full/html,"T McGough, S Tsolacos - Journal of Property Valuation and …, 1995 - emerald.com","https://scholar.google.com/scholar?q=related:qvT2-CoFOt4J:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 3 versions
3,Forecasting of demand using ARIMA model,"J Fattah, L Ezzine, Z Aman",2018,International …,"/scholar?cites=6888033455535885195&as_sdt=5,33&sciodt=0,33&hl=en",40,1,https://journals.sagepub.com/doi/abs/10.1177/1847979018808673,"J Fattah, L Ezzine, Z Aman… - International …, 2018 - journals.sagepub.com","https://scholar.google.com/scholar?q=related:iws59u41l18J:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 3 versions
4,Annual Automobile Sales Prediction Using ARIMA Model,"SP Shakti, MK Hassan, Y Zhenning",2017,International Journal of …,"/scholar?cites=15932557488814315648&as_sdt=5,33&sciodt=0,33&hl=en",8,1,http://gvpress.com/journals/IJHIT/vol10_no6/2.pdf,"SP Shakti, MK Hassan, Y Zhenning… - International Journal of …, 2017 - gvpress.com","https://scholar.google.com/scholar?q=related:gFhELJ_QG90J:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 2 versions
5,A comparative study of linear and nonlinear models for aggregate retail sales forecasting,"CW Chu, GP Zhang",2003,International Journal of production economics,"/scholar?cites=13100726972981087437&as_sdt=5,33&sciodt=0,33&hl=en",223,1,https://www.sciencedirect.com/science/article/pii/S0925527303000689,"CW Chu, GP Zhang - International Journal of production economics, 2003 - Elsevier","https://scholar.google.com/scholar?q=related:zYzqc8Uhz7UJ:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 6 versions
6,Time series forecasting using a hybrid ARIMA and neural network model,GP Zhang,2003,Neurocomputing,"/scholar?cites=3551603047244278695&as_sdt=5,33&sciodt=0,33&hl=en",3054,1,https://www.sciencedirect.com/science/article/pii/S0925231201007020,"GP Zhang - Neurocomputing, 2003 - Elsevier","https://scholar.google.com/scholar?q=related:p6swfifUSTEJ:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 4 versions
7,Forecasting of raw material needed for plastic products based in income data using ARIMA method,"B Siregar, EB Nababan, A Yap",2017,2017 5th International …,"/scholar?cites=6809572968793729247&as_sdt=5,33&sciodt=0,33&hl=en",12,1,https://ieeexplore.ieee.org/abstract/document/8328777/,"B Siregar, EB Nababan, A Yap… - 2017 5th International …, 2017 - ieeexplore.ieee.org","https://scholar.google.com/scholar?q=related:32gNVYl2gF4J:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",
8,"Predicting housing sales in Turkey using ARIMA, LSTM and hybrid models","AS Temür, M Akgün, G Temür",2019,Journal of Business Economics and …,"/scholar?cites=1161396366940084630&as_sdt=5,33&sciodt=0,33&hl=en",9,1,https://journals.vgtu.lt/index.php/JBEM/article/view/10190,"AS Temür, M Akgün, G Temür - Journal of Business Economics and …, 2019 - journals.vgtu.lt","https://scholar.google.com/scholar?q=related:lpnkptcbHhAJ:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 3 versions
9,A hybrid neural network model for sales forecasting based on ARIMA and search popularity of article titles,"H Omar, VH Hoang, DR Liu",2016,Computational intelligence and …,"/scholar?cites=14652875114426722291&as_sdt=5,33&sciodt=0,33&hl=en",19,1,https://www.hindawi.com/journals/cin/2016/9656453/abs/,"H Omar, VH Hoang, DR Liu - Computational intelligence and …, 2016 - hindawi.com","https://scholar.google.com/scholar?q=related:8-eQRUh4WcsJ:scholar.google.com/&scioq=Sales+Forecasting+using+Arima&hl=en&as_sdt=0,5",All 10 versions
