,FILE_NAME,MAPE_ARIMA,MAPE_SARIMAX,MAPE_VAR,MAPE_PROPHET,MAPE_SES,MAPE_HOLT_WINTER
334.0,ARAMIT_300_400.csv,1.7336482913192988,1.7360654958900026,1.6955613949720665,3.4796666351414944,3.3409537341991773,2.809018668785868
335.2,GP_300_400.csv,2.4506262265392946,3.688744238958271,2.236855914138738,3.9366740606284325,4.899459162448315,2.8968657383529357
340.5,HEIDELBCEM_300_400.csv,1.6536288423038115,1.7754000767156903,6.135362028542533,2.1817543634932006,1.7514867482268461,1.8488446558213658
320.5,JMISMDL_300_400.csv,4.811931888725255,4.868672626939591,3.436913508330665,4.944616744303772,3.3977056900175997,6.302376125441037
309.68,KOHINOOR_300_400.csv,10.339031789031875,10.69008251395772,10.406892176698603,10.788491073217582,9.929207403646728,10.26316786354895
337.3,NORTHERN_300_400.csv,2.136086657512901,2.327522200753447,3.061440344528106,2.932473537391988,2.119725272000056,4.029982382357364
351.72,RAHIMTEXT_300_400.csv,11.452755386758627,6.485264711241894,11.333192677893669,5.811216186046505,4.136425663952693,8.24127794236974
397.8,SONALIANSH_300_400.csv,6.574235981884612,6.8409078049630105,6.453165491139108,14.573807576419293,13.807264056598914,5.908244636264678
307.8,STANCERAM_300_400.csv,0.13735740543777009,0.3433492589317385,2.961472173790374,6.651044202331981,0.31092405583955707,2.3576816225298605
340.8,WATACHEM_300_400.csv,7.38689325322976,7.358506338421702,5.47923328212221,5.802011694422543,8.454513517839278,11.058133630941743
