,FILE_NAME,PFE_ARIMA,PFE_SARIMAX,PFE_VAR,PFE_PROPHET,PFE_SES,PFE_HOLT_WINTER
334.0,ARAMIT_300_400.csv,0.053639241358997,0.05368223732770795,0.053400064687097376,0.06798405464954924,0.06730517472602299,0.06461639325886537
335.2,GP_300_400.csv,0.03023396821470661,0.03539719551874207,0.029293911675134524,0.03627961947468111,0.039472942941398345,0.032804350691403604
340.5,HEIDELBCEM_300_400.csv,0.10368776896540562,0.10536518526794805,0.20967135110118826,0.12972244959009213,0.10230129850266789,0.11346979406202133
320.5,JMISMDL_300_400.csv,0.06462787837879803,0.06467913124773131,0.07273120061910879,0.06404396308835565,0.06687145473235401,0.07398573280456247
309.68,KOHINOOR_300_400.csv,0.1998941467379353,0.2059261540048935,0.19280489853860844,0.207014742139207,0.1930028607536237,0.19836138225234426
337.3,NORTHERN_300_400.csv,0.07961492346590425,0.08446889674879988,0.08912203181504517,0.0867422531715086,0.07926197620838683,0.113230743818394
351.72,RAHIMTEXT_300_400.csv,0.11258584920700329,0.09286152353971698,0.11250052776068233,0.12379303913500547,0.0934421779133284,0.10363973750373387
397.8,SONALIANSH_300_400.csv,0.07112460105286329,0.07192714927989542,0.07073267994235889,0.08725855678712477,0.0867412861066302,0.06646697625992336
307.8,STANCERAM_300_400.csv,0.013845328912930641,0.02091691279734148,0.06714102404310837,0.11324467462569003,0.020900646814888967,0.06180192626566998
340.8,WATACHEM_300_400.csv,0.04930710530679355,0.049212912200038754,0.04452283476516184,0.04539534678621003,0.05161893617781224,0.060158207089805224
